NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
711,"CORN,SWT,WHITE,FRZ,KRNLS ON COB,UNPREP",71.79,98,3.28,0.78,0.65,23.5,2.8,,4,0.68,32,87,294,5,0.7,0.051,0.158,0.8,7.2,0.103,0.088,1.681,0.293,0.179,40,0,40,40,,0,4,0,0,0,2,1,0,61,,0,0,,0.12,0.228,0.367,0
712,"CORN,SWT,WHITE,FRZ,KRNLS ON COB,CKD,BLD,DRND,WO/SALT",73.2,94,3.11,0.74,0.62,22.33,2.1,,3,0.61,29,75,251,4,0.63,0.046,0.142,0.7,4.8,0.174,0.069,1.517,0.25,0.224,31,0,31,31,,0,4,0,0,0,2,1,0,58,,0,0,,0.114,0.216,0.348,0
713,"CORN,SWT,WHITE,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT",73.2,94,3.11,0.74,0.62,22.33,2.8,,3,0.61,29,75,251,240,0.63,0.046,0.142,0.7,4.8,0.174,0.069,1.517,0.25,0.224,31,0,31,31,,0,4,0,0,0,2,1,0,58,,0,0,,0.114,0.216,0.348,0
714,"PEPPERS,SWT,RED,CND,SOL&LIQUIDS",91.25,18,0.8,0.3,3.75,3.9,1.2,,41,0.8,11,20,146,1369,0.18,0.13,0.16,0.3,46.5,0.025,0.03,0.55,0.038,0.178,16,0,16,16,,0,520,26,0,,,,,,,0,0,,0.045,0.02,0.161,0
715,"PEPPERS,SWT,RED,FRZ,CHOPD,UNPREP",93.96,20,1.08,0.21,0.3,4.45,1.6,3.26,9,0.62,8,17,91,5,0.06,0.053,0.117,0.2,58.7,0.069,0.038,1.37,0.03,0.137,14,0,14,14,4.3,0,2428,121,0,15,1259,380,0,39,1.23,0,0,3.8,0.031,0.014,0.113,0
716,"PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,WO/ SALT",94.7,16,0.95,0.18,0.86,3.31,0.8,2.86,8,0.52,7,13,72,4,0.05,0.044,0.097,0.2,41.2,0.051,0.031,1.082,0.023,0.108,10,0,10,10,3.8,0,1917,96,0,12,994,300,0,31,1.08,0,0,3.4,0.027,0.012,0.099,0
717,"PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,W/ SALT",94.7,16,0.95,0.18,0.86,3.31,0.8,2.86,8,0.52,7,13,72,240,0.05,0.044,0.097,0.2,41.2,0.051,0.031,1.082,0.023,0.108,10,0,10,10,3.8,0,1917,96,0,12,994,300,0,31,1.08,0,0,3.4,0.027,0.012,0.099,0
718,"PEPPERS,SWT,RED,SAUTEED",78.95,133,1.04,12.75,0.7,6.57,1.8,4.28,7,0.47,12,23,193,21,0.15,0.017,0.115,,162.8,0.056,0.109,0.954,0.244,0.364,2,0,2,2,6.1,0,2760,138,0,96,1570,77,484,106,3.09,0,0,16.4,1.557,2.287,5.719,0
719,"SESBANIA FLOWER,CKD,STMD,W/SALT",93.3,21,1.14,0.05,0.41,5.1,,,22,0.56,12,21,107,247,,,,0.7,37,0.048,0.043,0.25,,,57,0,57,57,,0,0,0,0,,,,,,,0,0,,,,,0
720,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD,W/SALT",79.45,81,8.47,4.45,1.1,6.53,0.8,0.43,59,1.31,60,135,355,246,1.04,0.33,0.71,0.6,8.3,0.205,0.053,1.092,0.743,0.105,80,0,80,80,,0,40,2,0,12,12,12,0,0,0.21,0,0,33,0.617,1.009,2.513,0
721,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED,W/SALT",67.2,125,13.1,7.1,3.2,9.4,0.8,,82,0.4,96,216,567,250,2.1,0.527,1.133,0.6,12,0.42,0.19,1.1,1.186,0.168,127,0,127,127,,0,17,1,0,,,,,,,0,0,,,,,0
722,"DOCK,CKD,BLD,DRND,W/SALT",93.6,20,1.83,0.64,1.01,2.93,,,38,2.08,89,52,321,239,0.17,0.114,0.303,0.9,26.3,0.034,0.086,0.411,0.036,0.1,8,0,8,8,,0,3474,174,0,,,,,,,0,0,,,,,0
723,"LENTILS,SPROUTED,CKD,STIR-FRIED,W/SALT",68.7,101,8.8,0.45,0.8,21.25,,,14,3.1,35,153,284,246,1.6,0.337,0.502,0.6,12.6,0.22,0.09,1.2,0.571,0.164,67,0,67,67,,0,41,2,0,,,,,,,0,0,,0.053,0.095,0.201,0
724,"MOUNTAIN YAM,HAWAII,CKD,STMD,W/ SALT",77.14,82,1.73,0.08,1.06,19.99,,,8,0.43,10,40,495,248,0.32,0.129,0.283,0.9,0,0.086,0.014,0.13,0.48,0.209,12,0,12,12,,0,0,0,0,,,,,,,0,0,,0.018,0.003,0.036,0
725,"TREE FERN,CKD,W/SALT",88.6,40,0.29,0.07,0.26,10.78,3.7,,8,0.16,5,4,5,241,0.31,0.202,0.539,0.9,30,0,0.3,3.5,0.063,0.179,15,0,15,15,,0,200,10,0,,,,,,,0,0,,,,,0
726,"POTATOES,MSHD,PREP FROM GRANULES,WO/MILK,WHL MILK&MARGARINE",77.48,108,2.05,4.93,1.14,14.4,2.2,,35,0.19,19,60,145,263,0.24,0.022,0.003,0.5,6,0.079,0.077,0.763,0.127,0.01,7,0,7,7,,0,213,44,40,,48,,,,,0,0,,1.284,2.041,1.363,3
727,"POTATOES,MSHD,DEHYD,PREP FRM FLKS WO/ MILK,WHL MILK&MARG ADD",76.3,113,1.9,5.6,1.18,15.02,2.3,,49,0.22,18,56,233,332,0.18,0.016,0.114,0.5,9.7,0.111,0.05,0.67,0.12,0.009,7,0,7,7,,0,220,46,42,,48,,,,,0,0,,1.46,2.307,1.551,4
728,"PEPPERS,SWT,RED,FREEZE-DRIED",2,314,17.9,3,8.4,68.7,21.3,40.77,134,10.4,188,327,3170,193,2.41,1.389,1.897,3.7,1900,1.2,1.2,7.4,0.488,2.223,229,0,229,229,,0,77261,3863,0,6931,42891,0,0,5799,4,0,0,114.2,0.447,0.202,1.607,0
729,"BEANS,SNAP,YEL,CND,REG PK,DRND SOL",93.3,20,1.15,0.1,0.95,4.5,1.3,0.78,26,0.9,13,19,109,251,0.29,0.038,0.2,0.4,4.8,0.015,0.056,0.201,0.129,0.037,32,0,32,32,10.5,0,105,5,0,0,63,0,0,458,0.29,0,0,39.3,0.022,0.004,0.051,0
730,"BEANS,SNAP,YEL,CND,NO SALT,DRND SOL",93.3,20,1.15,0.1,0.95,4.5,1.3,0.78,26,0.9,13,19,109,2,0.29,0.038,0.2,0.4,4.8,0.015,0.056,0.201,0.129,0.037,32,0,32,32,,0,353,18,0,156,122,24,0,452,0.03,0,0,38.9,0.022,0.004,0.051,0
731,"POTATOES,MSHD,HOME-PREPARED,WHL MILK & BUTTER ADDED",75.61,113,1.86,4.22,1.5,16.81,1.5,1.43,24,0.26,18,45,284,317,0.27,0.138,0.114,0.8,6,0.086,0.041,1.072,0.468,0.222,8,0,8,8,13.5,0.07,138,38,37,0,9,0,0,7,0.12,0.2,10,2,2.613,1.07,0.199,11
732,"Catsup",68.51,101,1.04,0.1,2.94,27.4,0.3,21.27,15,0.35,13,26,281,907,0.17,0.085,0.084,0.7,4.1,0.011,0.166,1.434,0.047,0.158,9,0,9,9,12.5,0,527,26,0,0,316,0,12062,161,1.46,0,0,3,0.014,0.015,0.041,0
733,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,EXPOSED TO UV LT,RAW",92.12,22,2.5,0.1,0.98,4.3,0.6,1.72,18,0.4,9,120,448,6,1.1,0.5,0.142,26,0,0.095,0.49,3.8,1.5,0.11,28,0,28,28,22.1,0.1,0,0,0,0,0,0,0,0,0.01,31.9,1276,0,0.014,0.002,0.042,0
734,"PICKLES,CUCUMBER,DILL OR KOSHER DILL",94.34,12,0.5,0.3,2.45,2.41,1,1.07,57,0.26,7,16,117,809,0.1,0.028,0.062,0,2.3,0.045,0.057,0.109,0.201,0.035,8,0,8,8,3.4,0,125,6,0,13,53,30,0,28,0.03,0,0,17.3,0.079,0.005,0.122,0
735,"MUSHROOM,WHITE,EXPOSED TO UV LT,RAW",92.45,22,3.09,0.34,0.85,3.26,1,1.98,3,0.5,9,86,318,5,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17,0,17,17,17.3,0,0,,0,,,,,,0.01,26.2,1046,0,0.05,0,0.16,0
736,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,GRILLED",90.66,29,3.28,0.58,1.05,4.44,2.2,2.26,3,0.4,13,135,437,11,0.65,0.389,0.067,21.9,0,0.072,0.403,6.255,1.262,0.122,19,,19,,32.8,,,,,,,,,,0,13.1,524,0,0.037,0.038,0.695,0
737,"PICKLES,CUCUMBER,SWT (INCLUDES BREAD & BUTTER PICKLES)",76.2,91,0.58,0.41,1.65,21.15,1,18.27,61,0.25,7,18,100,457,0.12,0.028,0.065,0,0.7,0.025,0.03,0.115,0.051,0.024,1,0,1,1,3.1,0,764,38,0,81,325,186,0,170,0.36,0,0,47.1,0.067,0.004,0.106,0
738,"PICKLES,CUCUMBER,SOUR",94.08,11,0.33,0.2,3.13,2.26,1.2,1.06,0,0.4,4,14,23,1208,0.02,0.085,0.011,0,1,0,0.01,0,0.038,0.009,1,0,1,1,3.6,0,191,10,0,20,81,47,0,43,0.09,0,0,47,0.052,0.003,0.081,0
739,"PIMENTO,CANNED",93.1,23,1.1,0.3,0.4,5.1,1.9,2.71,6,1.68,6,17,158,14,0.19,0.049,0.092,0.2,84.9,0.017,0.06,0.615,0.01,0.215,6,0,6,6,6.3,0,2655,133,0,238,1474,0,0,366,0.69,0,0,8.3,0.045,0.02,0.161,0
740,"PICKLE RELISH,HOT DOG",71.65,91,1.5,0.46,3.04,23.35,1.5,,5,1.25,19,40,78,1091,0.21,0.082,0.015,0,1,0.04,0.04,0.5,0.007,0.015,1,0,1,1,,0,167,8,0,,,,,,,0,0,,0.044,0.227,0.11,0
741,"PICKLE RELISH,SWEET",62.07,130,0.37,0.47,2.03,35.06,1.1,29.13,3,0.87,5,14,25,811,0.14,0.085,0.015,0,1,0,0.033,0.233,0.007,0.015,1,0,1,1,4.9,0,1218,61,0,129,519,296,0,271,0.58,0,0,83.8,0.054,0.209,0.122,0
742,"PICKLES,CUCUMBER,SOUR,LO NA",94.08,11,0.33,0.2,3.13,2.26,1.2,1.06,0,0.4,4,14,23,18,0.02,0.085,0.011,0,1,0,0.01,0,0.038,0.009,1,0,1,1,3.6,0,191,10,0,20,81,47,0,43,0.09,0,0,47,0.052,0.003,0.081,0
743,"PICKLES,CUCUMBER,DILL,RED NA",94.34,12,0.5,0.3,2.45,2.41,1,1.07,57,0.26,7,16,117,18,0.1,0.028,0.062,0,2.3,0.045,0.057,0.109,0.201,0.035,8,0,8,8,3.4,0,125,6,0,13,53,30,0,28,0.03,0,0,17.3,0.079,0.005,0.122,0
744,"PICKLES,CUCUMBER,SWT,LO NA (INCLUDES BREAD & BUTTER PICKLES)",65.26,122,0.37,0.26,0.38,33.73,1.1,26.68,4,0.59,4,12,32,18,0.08,0.105,0.015,0,1.2,0.009,0.032,0.174,0.12,0.015,1,0,1,1,4.5,0,1116,56,0,118,475,271,0,248,0.53,0,0,76.7,0.067,0.004,0.106,0
745,"CATSUP,LOW SODIUM",68.51,101,1.04,0.1,2.94,27.4,0.3,21.27,15,0.35,13,26,281,20,0.17,0.085,0.084,0.7,4.1,0.011,0.166,1.434,0.047,0.158,9,0,9,9,12.5,0,527,26,0,0,316,0,12062,161,1.46,0,0,3,0.014,0.015,0.041,0
746,"MUSHROOMS,ENOKI,RAW",88.34,37,2.66,0.29,0.91,7.81,2.7,0.22,0,1.15,16,105,359,3,0.65,0.107,0.075,2.2,0,0.225,0.2,7.032,1.35,0.1,48,0,48,48,47.7,0,,,0,,,,,,0.01,0.1,5,0,0.02,0,0.09,0
747,"PEPPERS,SWEET,YELLOW,RAW",92.02,27,1,0.21,0.45,6.32,0.9,,11,0.46,12,24,212,2,0.17,0.107,0.117,0.3,183.5,0.028,0.025,0.89,0.168,0.168,26,0,26,26,,0,200,10,0,,120,,,,,0,0,,0.031,,,0
748,"RADICCHIO,RAW",93.14,23,1.43,0.25,0.7,4.48,0.9,0.6,19,0.57,13,40,302,22,0.62,0.341,0.138,0.9,8,0.016,0.028,0.255,0.269,0.057,60,0,60,60,10.9,0,27,1,0,0,16,0,0,8832,2.26,0,0,255.2,0.06,0.01,0.11,0
749,"SQUASH,ZUCCHINI,BABY,RAW",92.73,21,2.71,0.4,1.05,3.11,1.1,,21,0.79,33,93,459,3,0.83,0.097,0.196,0.3,34.1,0.042,0.036,0.705,0.367,0.142,20,0,20,20,,0,490,25,0,,,,,,,0,0,,0.083,0.031,0.169,0
750,"TOMATILLOS,RAW",91.63,32,0.96,1.02,0.55,5.84,1.9,3.93,7,0.62,20,39,268,1,0.22,0.079,0.153,0.5,11.7,0.044,0.035,1.85,0.15,0.056,7,0,7,7,7.6,0,114,6,0,10,63,0,0,467,0.38,0,0,10.1,0.139,0.155,0.417,0
751,"TOMATOES,SUN-DRIED",14.56,258,14.11,2.97,12.6,55.76,12.3,37.59,110,9.09,194,356,3427,107,1.99,1.423,1.846,5.5,39.2,0.528,0.489,9.05,2.087,0.332,68,0,68,68,104.6,0,874,44,0,0,524,0,45902,1419,0.01,0,0,43,0.426,0.487,1.115,0
752,"TOMATOES,SUN-DRIED,PACKED IN OIL,DRND",53.83,213,5.06,14.08,3.7,23.33,5.8,,47,2.68,81,139,1565,266,0.78,0.473,0.466,3,101.8,0.193,0.383,3.63,0.479,0.319,23,0,23,23,,0,1286,64,0,,,,,,,0,0,,1.893,8.663,2.06,0
753,"FENNEL,BULB,RAW",90.21,31,1.24,0.2,1.05,7.3,3.1,3.93,49,0.73,17,50,414,52,0.2,0.066,0.191,0.7,12,0.01,0.032,0.64,0.232,0.047,27,0,27,27,13.2,0,963,48,0,0,578,0,0,607,0.58,0,0,62.8,0.09,0.068,0.169,0
754,"PICKLE RELISH,HAMBURGER",61.12,129,0.63,0.54,3.22,34.48,3.2,,4,1.14,7,17,76,1096,0.11,0.083,0.015,0,2.3,0.02,0.042,0.617,0.007,0.015,1,0,1,1,,0,267,13,0,,,,,,,0,0,,0.052,0.269,0.131,0
755,"ARUGULA,RAW",91.71,25,2.58,0.66,1.4,3.65,1.6,2.05,160,1.46,47,52,369,27,0.47,0.076,0.321,0.3,15,0.044,0.086,0.305,0.437,0.073,97,0,97,97,15.3,0,2373,119,0,0,1424,0,0,3555,0.43,0,0,108.6,0.086,0.049,0.319,0
756,"CARROTS,BABY,RAW",90.35,35,0.64,0.13,0.63,8.24,2.9,4.76,32,0.89,10,28,237,78,0.17,0.1,0.151,0.9,2.6,0.03,0.036,0.556,0.401,0.105,27,0,27,27,7.5,0,13790,690,0,3767,6391,0,0,358,,0,0,9.4,0.023,0.007,0.065,0
757,"HEARTS OF PALM,CANNED",90.2,28,2.52,0.62,2.04,4.62,2.4,,58,3.13,38,65,177,426,1.15,0.133,1.394,0.7,7.9,0.011,0.057,0.437,0.126,0.022,39,0,39,39,,0,0,0,0,,,,,,,0,0,,0.13,0.103,0.202,0
758,"PEPPERS,HOT CHILE,SUN-DRIED",7.15,324,10.58,5.81,6.6,69.86,28.7,41.06,45,6.04,88,159,1870,91,1.02,0.228,0.821,3.5,31.4,0.081,1.205,8.669,0.956,0.81,51,0,51,51,84.3,0,26488,1324,0,994,14844,1103,0,5494,3.14,0,0,108.2,0.813,0.468,3.079,0
759,"NOPALES,RAW",94.12,16,1.32,0.09,1.14,3.33,2.2,1.15,164,0.59,52,16,257,21,0.25,0.052,0.457,0.7,9.3,0.012,0.041,0.41,0.167,0.07,3,0,3,3,7.3,0,457,23,0,48,250,0,0,0,0,0,0,5.3,0.016,0.018,0.05,0
760,"NOPALES,CKD,WO/SALT",94.31,15,1.35,0.05,1.01,3.28,2,1.12,164,0.5,47,16,195,20,0.21,0.049,0.408,0.7,5.3,0.011,0.04,0.296,0.15,0.067,3,0,3,3,7.1,0,443,22,0,47,242,0,0,0,0,0,0,5.1,0.006,0.007,0.021,0
761,"CAULIFLOWER,GREEN,RAW",89.79,31,2.95,0.3,0.88,6.09,3.2,3.03,33,0.73,20,62,300,23,0.64,0.041,0.247,0.6,88.1,0.08,0.102,0.734,0.696,0.222,57,0,57,57,57.1,0,155,8,0,0,93,0,0,42,0.04,0,0,20.2,0.047,0.028,0.133,0
762,"CAULIFLOWER,GRN,CKD,NO SALT ADDED",89.47,32,3.04,0.31,0.9,6.28,3.3,3.12,32,0.72,19,57,278,23,0.63,0.04,0.242,0.8,72.6,0.07,0.1,0.681,0.681,0.206,41,0,41,41,58.8,0,144,7,0,0,86,0,0,39,0.04,0,0,20.8,0.043,0.03,0.137,0
763,"CAULIFLOWER,GRN,CKD,W/ SALT",89.47,32,3.04,0.31,0.9,6.28,3.3,,32,0.72,19,57,278,259,0.63,0.04,0.242,0.8,72.6,0.07,0.1,0.681,0.681,0.206,41,0,41,41,,0,141,7,0,,,,,,,0,0,,0.049,0.029,0.137,0
764,"BROCCOLI,CHINESE,COOKED",93.54,22,1.14,0.72,0.79,3.81,2.5,0.84,100,0.56,18,41,261,7,0.39,0.061,0.264,1.3,28.2,0.095,0.146,0.437,0.159,0.07,99,0,99,99,25.3,0,1638,82,0,0,983,0,0,912,0.48,0,0,84.8,0.11,0.05,0.33,0
765,"CABBAGE,NAPA,COOKED",96.33,12,1.1,0.17,0.17,2.23,,,29,0.74,8,19,87,11,0.14,0.096,0.203,0.4,3.2,0.005,0.025,0.466,0.035,0.037,43,0,43,43,,0,263,13,0,49,133,0,0,,,0,0,,,,,0
766,"LEMON GRASS (CITRONELLA),RAW",70.58,99,1.82,0.49,1.8,25.31,,,65,8.17,60,101,723,6,2.23,0.266,5.224,0.7,2.6,0.065,0.135,1.101,0.05,0.08,75,0,75,75,,0,6,0,0,0,3,0,,,,0,0,,0.119,0.054,0.17,0
767,"BEANS,FAVA,IN POD,RAW",72.6,88,7.92,0.73,1.12,17.63,7.5,9.21,37,1.55,33,129,332,25,1,0.402,0.661,0.8,3.7,0.133,0.29,2.249,0.225,0.104,148,0,148,148,,0,333,17,0,0,196,9,0,1811,1.16,0,0,40.9,0.118,0.104,0.342,0
768,"GRAPE LEAVES,RAW",73.32,93,5.6,2.12,1.65,17.31,11,6.3,363,2.63,95,91,272,9,0.67,0.415,2.855,0.9,11.1,0.04,0.354,2.362,0.231,0.4,83,0,83,83,12.8,0,27521,1376,0,629,16194,9,0,1747,2,0,0,108.6,0.336,0.081,1.065,0
769,"GRAPE LEAVES,CND",76.1,69,4.27,1.97,5.95,11.71,9.9,,289,2.98,14,34,29,2853,0.4,1.841,0.29,0.9,11.3,0.064,0.364,4.505,4.274,0.136,78,0,78,78,,0,5253,263,0,629,2838,0,0,1487,1.79,0,0,97.3,0.312,0.076,0.989,0
770,"PEPPER,BANANA,RAW",91.81,27,1.66,0.45,0.73,5.35,3.4,1.95,14,0.46,17,32,256,13,0.25,0.094,0.1,0.3,82.7,0.081,0.054,1.242,0.265,0.357,29,0,29,29,7.4,0,340,17,0,39,184,0,0,0,0.69,0,0,9.5,0.048,0.027,0.243,0
771,"PEPPERS,SERRANO,RAW",90.25,32,1.74,0.44,0.87,6.7,3.7,3.83,11,0.86,22,40,305,10,0.26,0.129,0.187,0.4,44.9,0.054,0.081,1.537,0.2,0.505,23,0,23,23,8.9,0,937,47,0,18,534,40,0,544,0.69,0,0,11.8,0.059,0.023,0.222,0
772,"PEPPERS,ANCHO,DRIED",22.63,281,11.86,8.2,5.89,51.42,21.6,,61,10.93,113,201,2411,43,1.42,0.508,1.279,2.9,2,0.179,2.255,6.403,1.993,3.535,69,0,69,69,,0,20438,1022,0,,,,,,,0,0,,0.82,0.492,4.511,0
773,"PEPPERS,JALAPENO,RAW",91.69,29,0.91,0.37,0.53,6.5,2.8,4.12,12,0.25,15,26,248,3,0.14,0.046,0.097,0.4,118.6,0.04,0.07,1.28,0.315,0.419,27,0,27,27,7.5,0,1078,54,0,67,561,105,0,861,3.58,0,0,18.5,0.092,0.029,0.112,0
774,"PEPPERS,CHILI,GRN,CND",93.25,21,0.72,0.27,1.31,4.6,1.7,,36,1.33,4,11,113,397,0.09,,,0.3,34.2,0.01,0.03,0.627,0.084,0.12,54,0,54,54,,0,126,6,0,,,,,,,0,0,,0.028,0.017,0.153,0
775,"PEPPERS,HUNGARIAN,RAW",91.51,29,0.8,0.41,0.58,6.7,1,3.53,12,0.46,16,29,202,1,0.3,0.115,0.204,0.3,92.9,0.079,0.055,1.092,0.205,0.517,53,0,53,53,7.7,0,816,41,0,16,465,34,0,502,0.48,0,0,9.9,0.046,0.024,0.24,0
776,"PEPPERS,PASILLA,DRIED",14.84,345,12.35,15.85,5.82,51.13,26.8,,97,9.83,130,267,2222,89,1.4,0.423,1.58,3.2,6.4,0.172,3.197,7.175,1.591,4.228,170,0,170,170,,0,35760,1788,0,,,,,,,0,0,,,,,0
777,"PICKLES,CHOWCHOW,W/CAULIFLOWER ONION MUSTARD,SWT",68.9,121,1.5,0.9,2.06,26.64,1.5,23.88,23,1.4,21,22,200,527,0.23,0.092,0.085,2,6,0,0.02,0,0.067,0.01,5,0,5,5,4,0,90,5,0,10,38,22,0,222,0.16,0,0,61.6,0.149,0.17,0.397,0
778,"EPAZOTE,RAW",89.21,32,0.33,0.52,2.5,7.44,3.8,,275,1.88,121,86,633,43,1.1,0.19,3.098,0.9,3.6,0.028,0.348,0.639,0.179,0.152,215,0,215,215,,0,57,3,0,,38,,,,,0,0,,,,,0
779,"FIREWEED,LEAVES,RAW",70.78,103,4.71,2.75,2.54,19.22,10.6,,429,2.4,156,108,494,34,2.66,0.32,6.704,0.9,2.2,0.033,0.137,4.674,1.356,0.632,112,0,112,112,,0,3598,180,0,,,,,,,0,0,,,,,0
780,"MALABAR SPINACH,COOKED",92.5,23,2.98,0.78,1.04,2.71,2.1,,124,1.48,48,36,256,55,0.3,0.111,0.255,0.9,5.9,0.106,0.129,0.787,0.135,0.086,114,0,114,114,,0,1158,58,0,,,,,,,0,0,,,,,0
781,"MUSHROOMS,OYSTER,RAW",89.18,33,3.31,0.41,1.01,6.09,2.3,1.11,3,1.33,18,120,420,18,0.77,0.244,0.113,2.6,0,0.125,0.349,4.956,1.294,0.11,38,0,38,38,48.7,0,48,2,0,0,29,0,0,0,0,0.7,29,0,0.062,0.031,0.123,0
782,"FUNGI,CLOUD EARS,DRIED",14.8,284,9.25,0.73,2.21,73.01,70.1,,159,5.88,83,184,754,35,1.32,0.183,1.951,43.4,0,0.015,0.844,6.267,0.481,0.112,38,0,38,38,,0,0,0,0,,,,,,,0,0,,,,,0
783,"MUSHROOMS,STRAW,CND,DRND SOL",89.88,32,3.83,0.68,0.97,4.64,2.5,,10,1.43,7,61,78,384,0.67,0.133,0.098,15.2,0,0.013,0.07,0.224,0.412,0.014,38,0,38,38,,0,0,0,0,0,0,0,,,,,,,0.089,0.012,0.263,0
784,"WASABI,ROOT,RAW",69.11,109,4.8,0.63,1.92,23.54,7.8,,128,1.03,69,80,568,17,1.62,0.155,0.391,,41.9,0.131,0.114,0.743,0.203,0.274,18,0,18,18,,0,35,2,0,0,21,0,,,,0,0,,,,,0
785,"YAUTIA (TANNIER),RAW",73.06,98,1.46,0.4,1.45,23.63,1.5,,9,0.98,24,51,598,21,0.5,0.257,0.186,0.7,5.2,0.097,0.04,0.667,0.209,0.237,17,0,17,17,,0,8,0,0,0,5,0,,,,0,0,,0.082,,,0
786,"MUSHROOMS,WHITE,MICROWAVED",88.52,35,3.91,0.46,1.08,6.04,2.5,0,6,0.33,14,127,488,17,0.73,0.37,0.064,18,0,0.06,0.431,5.35,1.96,0.049,16,0,16,16,30.3,0,0,0,0,0,0,0,0,0,0,0.3,11,0,0.06,0.02,0.28,0
787,"MUSHROOMS,MAITAKE,RAW",90.37,31,1.94,0.19,0.53,6.97,2.7,2.07,1,0.3,10,74,204,1,0.75,0.252,0.059,2.2,0,0.146,0.242,6.585,0.27,0.056,21,0,21,21,51.1,0,0,0,0,0,0,0,0,0,0.01,28.1,1123,0,0.03,0.03,0.09,0
788,"BROCCOLI,CHINESE,RAW",92.55,30,1.2,0.76,0.83,4.67,2.6,0.88,105,0.59,19,43,274,7,0.41,0.064,,1.4,29.6,0.1,0.153,0.459,,0.074,104,0,104,104,26.5,0,1720,86,0,0,1032,0,0,957,0.5,0,0,89.1,0.116,0.053,0.347,0
789,"FIDDLEHEAD FERNS,RAW",88.68,34,4.55,0.4,0.83,5.54,,,32,1.31,34,101,370,1,0.83,0.32,0.51,,26.6,0.02,0.21,4.98,,,,,,,,0,3617,181,0,261,2040,,,,,0,0,,,,,0
790,"FIDDLEHEAD FERNS,FRZ,UNPREP",88.91,34,4.31,0.35,0.69,5.74,,,24,0.73,19,58,129,0,0.71,0.22,0.94,,17.8,0.014,0.13,3.26,,,,,,,,0,3350,168,0,280,1870,,,,,0,0,,,,,0
791,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,RAW",92.82,22,2.11,0.35,0.85,3.87,1.3,2.5,3,0.31,10,108,364,9,0.53,0.286,0.069,18.6,0,0.059,0.13,4.494,1.14,0.148,28,0,28,28,21.2,0.05,0,0,,0,0,0,0,0,0.02,28.4,1135,0,0.06,0.02,0.117,0
792,"BREADFRUIT SEEDS,RAW",56.27,191,7.4,5.59,1.5,29.24,5.2,,36,3.67,54,175,941,25,0.9,1.148,0.142,,6.6,0.482,0.301,0.438,0.877,0.32,53,0,53,53,,0,256,13,0,,,,,,,0,0,,1.509,0.712,2.977,0
793,"BREADFRUIT SEEDS,BOILED",59.3,168,5.3,2.3,1.1,32,4.8,,61,0.6,50,124,875,23,0.83,1.069,0.132,,6.1,0.29,0.17,5.3,0.816,0.298,49,0,49,49,,0,238,12,0,,,,,,,0,0,,0.621,0.293,1.225,0
794,"SEEDS,BREADNUT TREE SEEDS,RAW",45,217,5.97,0.99,1.76,46.28,,,98,2.09,68,67,1183,31,1.13,1.444,0.178,,27.4,0.055,0.055,0.88,1.103,0.403,66,0,66,66,,0,248,12,0,,,,,,,0,0,,0.267,0.126,0.527,0
795,"SEEDS,BREADNUT TREE SEEDS,DRIED",6.5,367,8.62,1.68,3.81,79.39,14.9,,94,4.6,115,178,2011,53,1.91,2.455,0.303,1.9,46.6,0.03,0.14,2.1,1.875,0.685,113,0,113,113,,0,216,11,0,,,,,,,0,0,,0.454,0.214,0.896,0
796,"CHIA SEEDS,DRIED",5.8,486,16.54,30.74,4.8,42.12,34.4,,631,7.72,335,860,407,16,4.58,0.924,2.723,55.2,1.6,0.62,0.17,8.83,,,49,,49,,,0,54,,,,,,,,0.5,,,,3.33,2.309,23.665,0
